Iterations;Entropy;GEL;GLL;M-SVM Weston;M-SVM Lee;Surrogate Hinge;Surrogate Hinge Squares;Surrogate Squares;Surrogate Saturated Hinge;Surrogate Exponential;Surrogate Sigmoid;M-SVM Crammer
84000;0,75578228;0,464149877;0,752107319;0,54722194;0,754445929;0,804139252;0,811814691;0,821683114;0,10043174;0,14787215;0,100363215;0,216848284
84500;0,7708419;0,461785562;0,780016445;0,547414676;0,755371094;0,807976976;0,829221487;0,818667765;0,099917769;0,248972029;0,100123346;0,177014798
85000;0,781018708;0,5286287;0,811446339;0,581825658;0,753803454;0,805612663;0,813939149;0,827576752;0,100174755;0,20199424;0,100226144;0,206208885
85500;0,796669409;0,571263373;0,795410156;0,602937404;0,736199629;0,809279054;0,811746165;0,821306194;0,100071967;0,228618413;0,100089113;0,248406678
86000;0,795230266;0,59752775;0,794690587;0,596756782;0,73640522;0,802494516;0,827816606;0,813870619;0,099969149;0,304841697;0,10005482;0,199578524
86500;0,784822162;0,613615349;0,783305924;0,583958676;0,768785976;0,815823739;0,802665845;0,819044684;0,100174755;0,408768505;0,099849224;0,154091269
87000;0,809133429;0,307462994;0,785336144;0,530067846;0,764725536;0,804276312;0,77847451;0,811334978;0,100123346;0,291169792;0,100500286;0,218338817
87500;0,796129726;0,186523438;0,774979442;0,489084339;0,757786799;0,790604447;0,82415022;0,813425163;0,100740135;0,34765625;0,166940788;0,198704749
88000;0,78340872;0,217387959;0,769299958;0,496247949;0,745554067;0,804961622;0,819455867;0,822711075;0,100483149;0,400442034;0,167077859;0,214895159
88500;0,772563733;0,297748767;0,798262745;0,518901624;0,758994658;0,809176261;0,818941881;0,822539747;0,100174755;0,362972856;0,116502186;0,20703125
89000;0,789396588;0,340229243;0,788574219;0,537925319;0,791966487;0,802083333;0,793448463;0,819078947;0,099403799;0,353824019;0,100466013;0,233501226
89500;0,797311887;0,431769125;0,78040193;0,558253242;0,790116161;0,814830045;0,828399122;0,826514532;0,099506587;0,359220803;0,100500286;0,223530024
90000;0,79546155;0,470600333;0,782971833;0,569721427;0,779373974;0,811951752;0,814898575;0,815549617;0,099249601;0,393092096;0,10029467;0,229851991
