Itérations;crammer;cross_entropy;GEL;GLL;Hinge;Lee;surrogate_hinge;surrogate_hinge_squares;surrogate_squares
166500;0,171977818;0,8344983608;0,8490953892;0,8512541056;0,8714021444;0,8614309281;0,8668791056;0,8601973653;0,8596833944
167000;0,1734169126;0,8451891392;0,8518708944;0,8467310816;0,8661595434;0,8635896444;0,8674958944;0,8635896444;0,86328125
167500;0,1688939333;0,8456003219;0,8473478556;0,8500205576;0,8648231924;0,8651315719;0,8657483608;0,8634868413;0,8629728556
168000;0,1646792889;0,8556743413;0,8495065719;0,852179274;0,863898024;0,8605057597;0,8640008271;0,86328125;0,8617393076
168500;0,1596422791;0,841180101;0,8516653031;0,8584498316;0,8700657934;0,8682154566;0,8654399663;0,8642064184;0,8631784469
169000;0,1574835777;0,8387129903;0,8497121781;0,8549547642;0,8627672642;0,8699629903;0,8661595434;0,8617393076;0,8644120097
169500;0,1555304527;0,8481702358;0,8499177694;0,857421875;0,8642064184;0,8700657934;0,8662623316;0,8605057597;0,86328125
170000;0,1625205874;0,8461143076;0,852179274;0,8505345434;0,8645147979;0,8669819087;0,8663651347;0,860711351;0,859375
170500;0,1671463847;0,86328125;0,848992601;0,8563939184;0,8623560816;0,8654399663;0,866570726;0,8614309281;0,8614309281
171000;0,1650904417;0,8550575674;0,8487870097;0,8597861826;0,8684210479;0,8712993413;0,8670846969;0,860711351;0,8633840531
171500;0,1735197306;0,8643092066;0,8534128219;0,8557771444;0,865851149;0,8668791056;0,8636924326;0,8606085479;0,8601973653
172000;0,1674547791;0,8597861826;0,8524876684;0,8654399663;0,8657483608;0,8621504903;0,8663651347;0,8598889858;0,8610197306
172500;0,175678432;0,8644120097;0,8532072306;0,8627672642;0,8604029566;0,8625616729;0,869757399;0,8628700674;0,8597861826
173000;0,177631557;0,8591694087;0,852898851;0,8714021444;0,858038649;0,8673930913;0,8664679229;0,8621504903;0,8601973653
173500;0,1770148277;0,8564967066;0,8525904566;0,858758226;0,8629728556;0,869140625;0,8650287837;0,8582442403;0,8594778031
174000;0,1748560667;0,858038649;0,8544407934;0,8430304229;0,870476976;0,8677014858;0,8662623316;0,8576274663;0,8601973653
174500;0,1686882973;0,8616365194;0,8486842066;0,8667763174;0,8660567403;0,8671875;0,8634868413;0,8555715531;0,8581414521
175000;0,1578947306;0,8644120097;0,8542352021;0,8524876684;0,8651315719;0,8664679229;0,864617601;0,858758226;0,8590666056
175500;0,1588199139;0,8701685816;0,8685923815;0,8672903031;0,8701685816;0,8683182597;0,8667763174;0,859991774;0,858758226
176000;0,1590254903;0,8735608608;0,8729783396;0,8748971969;0,8734580576;0,8705797642;0,8662623316;0,8609169424;0,8590666056
176500;0,1593338847;0,8765419424;0,8749657323;0,8780838847;0,8746916056;0,8721217066;0,8668791056;0,8604029566;0,859375
177000;0,1633429527;0,8803453967;0,87616502;0,8791118413;0,877261512;0,8721217066;0,8681126684;0,8621504903;0,8604029566
177500;0,1664268374;0,8796258196;0,8784265344;0,8807565793;0,8800370097;0,8744860142;0,8677014858;0,860711351;0,8604029566
178000;0,166015625;0,8819901347;0,8801055352;0,8835320696;0,8812705576;0,8755139783;0,8677014858;0,8622532934;0,8618421108
178500;0,1623149514;0,8817845359;0,8793174351;0,8829152957;0,8804481924;0,8745888174;0,8672903031;0,8604029566;0,859991774
179000;0,1623149514;0,882195726;0,879762883;0,8855879903;0,8797286153;0,8739720434;0,8670846969;0,8616365194;0,8606085479
179500;0,16796875;0,8822985217;0,8801740656;0,884457238;0,881167762;0,8748971969;0,8686266392;0,8615337163;0,8614309281
180000;0,1694079041;0,8833264783;0,8792489022;0,8838404641;0,8798314109;0,8740748316;0,8683182597;0,8614309281;0,8597861826
180500;0,166118443;0,8829152957;0,8805167203;0,887335524;0,8807565793;0,8734580576;0,8684210479;0,8612253219;0,8598889858
181000;0,16796875;0,883120887;0,8805167203;0,886101976;0,8813733533;0,8740748316;0,868523851;0,8620477021;0,8603001684
181500;0,171875;0,8836348653;0,8803453942;0,887027137;0,8809621707;0,873046875;0,8680098653;0,8621504903;0,8605057597
182000;0,1733141541;0,8845600337;0,8803111315;0,884765625;0,8826069087;0,8735608608;0,8677014858;0,861328125;0,8606085479
182500;0,1734169126;0,8832236826;0,879762883;0,8839432597;0,880859375;0,8744860142;0,8674958944;0,8597861826;0,8594778031
183000;0,1693050861;0,8835320696;0,8802083308;0,8863075674;0,8798314109;0,8744860142;0,8693462163;0,8605057597;0,8595805913
183500;0,1704358459;0,8852796033;0,8804139271;0,8869243413;0,8803453967;0,8739720434;0,8689350337;0,8611225337;0,860711351
184000;0,1708470583;0,884148851;0,8792831699;0,8854851946;0,8801398054;0,8722245097;0,8674958944;0,8597861826;0,8590666056
184500;0,1714637876;0,8855879903;0,8790775761;0,8842516467;0,879523024;0,8734580576;0,8663651347;0,8598889858;0,8592721969
185000;0,2686060667;0,8822985217;0,8812362924;0,88671875;0,8816817403;0,875308387;0,8682154566;0,8598889858;0,8596833944
185500;0,1730057597;0,8855879903;0,8813048229;0,885074012;0,883429274;0,8754111826;0,8690378219;0,8612253219;0,8586554229
186000;0,099609375;0,8877467141;0,8805509855;0,8845600337;0,8817845359;0,875308387;0,8690378219;0,8615337163;0,8596833944
186500;0,1723889709;0,8871299326;0,881167762;0,8863075674;0,8833264783;0,8738692403;0,868523851;0,8617393076;0,8610197306
187000;0,1695106626;0,8848684207;0,8798999439;0,884148851;0,8812705576;0,8742804229;0,8674958944;0,8601973653;0,8571134806
187500;0,1722862124;0,8840460554;0,880790847;0,8859991804;0,8819901347;0,874383226;0,8692434281;0,8596833944;0,8596833944
188000;0,1716694236;0,885382399;0,8811334968;0,8851768076;0,8830180913;0,8752055913;0,8670846969;0,8597861826;0,859991774
188500;0,1697162986;0,8838404641;0,8808936377;0,885382399;0,8815789446;0,8757195696;0,867804274;0,8609169424;0,8610197306
189000;0,1695106626;0,885074012;0,8804139247;0,8858963847;0,880859375;0,8744860142;0,8669819087;0,8598889858;0,8605057597
189500;0,171977818;0,8835320696;0,8794544985;0,8839432597;0,880242601;0,8741776347;0,8667763174;0,8608141392;0,8596833944
190000;0,1657072306;0,8851768076;0,8794887612;0,8829152957;0,8807565793;0,8747944087;0,8683182597;0,859991774;0,860711351
