Iterations	Crammer (2 passages)	cross_entropy (4 passages)	GEL ( 4)	GLL (4)	Hinge (4)	Large_margin (m=1, 5 passages)	Large_margin (m=4, 1 passage)	Lee (4)	surrogate_double_hinge (2)	surrogate_exponential (2)	surrogate_hinge (3)	surrogate_hinge_squares (3)	surrogate_sigmoid (3)	surrogate_squares (3)
40500	0,1925370097	0,7503854893	0,5225123465	0,7641601525	0,5573987495	0,7658717096	0,7934827358	0,7376644798	0,0999691486	0,2087273896	0,7940995047	0,7714158495	0,1002604167	0,8051329454
41000	0,1999897063	0,7543174364	0,5788959712	0,7614360601	0,5736597935	0,716180101	0,8036595434	0,6667608991	0,1004317403	0,2940481007	0,7917694598	0,8019120047	0,1000548204	0,804447641
41500	0,203073591	0,7215254977	0,3952251151	0,7735402957	0,5233411249	0,7758223712	0,7537006587	0,7093441598	0,0994037688	0,1755242646	0,7970120609	0,7986567964	0,1005002856	0,8023231924
42000	0,1676603556	0,7631321922	0,4345960096	0,7374331839	0,5257054353	0,7494860142	0,765625	0,7461194508	0,1000719666	0,2280016243	0,7874520322	0,802974234	0,1005687912	0,7888569037
42500	0,1706928611	0,7446289025	0,3336502835	0,7513877526	0,5000899499	0,7616570711	0,7357113361	0,757478416	0,1001233757	0,2349917889	0,8021518687	0,779536734	0,1560786764	0,7776521345
43000	0,1940275431	0,7105777189	0,3662109226	0,7762386948	0,5117637198	0,7640213788	0,7633634806	0,7247121744	0,0999691486	0,1990131438	0,7953330576	0,7791598141	0,099849244	0,7856359631
43500	0,2042043507	0,7467876151	0,4465203509	0,7882658318	0,5464445371	0,764288649	0,8063322306	0,7764699794	0,0999691784	0,2105776966	0,7865611315	0,8073259294	0,0995408297	0,7796737949
44000	0,1711554229	0,7544716299	0,5270610526	0,7865439989	0,5598080261	0,7867598653	0,7964638174	0,680304274	0,0999691784	0,2130962312	0,7968064696	0,7920435866	0,0991639296	0,8136307547
44500	0,1875	0,734888982	0,5752724186	0,7529810853	0,5626606215	0,7809004933	0,8134251684	0,7416221239	0,1002261639	0,1589227021	0,8134594262	0,7911869486	0,0999863148	0,8123286714
45000	0,2192125916	0,7666015662	0,578741774	0,7635176815	0,5820184033	0,7773231924	0,7340666056	0,7643657476	0,1007915437	0,1663240194	0,8081140369	0,8028029054	0,0999177694	0,7956757148
45500	0,2062602937	0,7821237631	0,5812345706	0,7725637369	0,5855455911	0,7251439124	0,766961351	0,752467107	0,0998149812	0,1886821687	0,7930030227	0,789919128	0,1232524713	0,7840254953
46000	0,2083675861	0,7675524317	0,666658096	0,7856959254	0,6070685098	0,7622738481	0,751336351	0,7261770181	0,099660784	0,2432668507	0,7906387051	0,7919065207	0,1051946481	0,786012888
46500	0,2024054229	0,7614103593	0,6240234412	0,7666529603	0,5886230459	0,7836554259	0,8084909469	0,7420333028	0,1000719666	0,2692742646	0,7879317453	0,7894051522	0,1000205676	0,8045847019
47000	0,1876027882	0,7422902919	0,679995887	0,7776264362	0,5968788508	0,7868215472	0,7598684281	0,7345805839	0,1000719368	0,3977693319	0,7833401859	0,7842653493	0,099609375	0,8046189696
47500	0,2142269611	0,7671412416	0,7149465457	0,7906815372	0,6217490714	0,7864720434	0,7375616729	0,7491005324	0,0998663604	0,2229132354	0,8007469823	0,772580872	0,0998149713	0,7799136539
48000	0,1703844666	0,7499229051	0,7337839194	0,7784231119	0,6081286008	0,7762746692	0,7698396444	0,7613589689	0,0999691486	0,1365645528	0,8010896395	0,7991022468	0,0993352532	0,7961211652
48500	0,1881681681	0,7963610217	0,3431846276	0,7400030792	0,5169292241	0,7355879873	0,8047903031	0,7260742262	0,1002261341	0,3041735291	0,810067157	0,7971833895	0,1000548402	0,8085252196
49000	0,2133018076	0,7793739699	0,4684930071	0,7837942019	0,5612407466	0,7735814154	0,6853412688	0,7158974074	0,1007915437	0,3582442403	0,7828262051	0,7995819648	0,0991296371	0,8130482485
49500	0,1941817403	0,7595857345	0,5629111901	0,7603824027	0,5692652669	0,7865337163	0,7663445771	0,7521587163	0,0998149514	0,2080592215	0,8031112949	0,79882813	0,0999862949	0,8017406762
50000	0,2042043507	0,8086708449	0,478849709	0,7760074064	0,5669330778	0,7979029596	0,8002672642	0,7635947801	0,099609375	0,3507401347	0,8048930913	0,7634662837	0,1002947092	0,8006784519
50500	0,1787109375	0,8009868413	0,5695158243	0,7642372549	0,5783627145	0,7720189124	0,7280016541	0,763826061	0,1001233459	0,1326583028	0,7783374439	0,8117118975	0,099609375	0,8071888685
51000	0,1552734375	0,770867601	0,5479543656	0,7832545228	0,5643374817	0,7866159499	0,7473272979	0,7556280866	0,1000719666	0,1980366111	0,7910841554	0,8098273029	0,0999520222	0,7780290594
51500	0,1920230389	0,7833573185	0,4310238585	0,7651110254	0,5428788103	0,7916529626	0,7942022979	0,7450914904	0,0997635722	0,1993215382	0,7848478605	0,8009868413	0,167249163	0,7660019149
52000	0,1830283701	0,7736173905	0,4773848765	0,7723581456	0,5515971957	0,7793585539	0,768914476	0,7542146407	0,0993523896	0,1451994181	0,8031112949	0,7897478094	0,0999177496	0,7888569087
52500	0,1920744181	0,7731548138	0,534025494	0,7827919424	0,5705116671	0,773046872	0,7674753219	0,7550884113	0,1000205576	0,3615337312	0,7978001684	0,8024259855	0,1002603968	0,816166391
